WorkerID,WorkerName,Skills,AvailableSlots,MaxLoadPerPhase,WorkerGroup,QualificationLevel
W001,John Smith,"programming,design,testing","[1,2,3,4,5]",3,Senior,5
W002,Sarah Johnson,"programming,analysis","[1,2,3]",2,Senior,4
W003,Mike Davis,"design,testing","[2,3,4]",2,Junior,3
W004,Emily Wilson,"programming,design","[1,3,5]",2,Senior,5
W005,David Brown,"testing,analysis","[2,4]",1,Junior,2
W006,Lisa Anderson,"programming,testing","[1,2,4,5]",3,Senior,4
W007,Tom Martinez,"design,analysis","[3,4,5]",2,Junior,3
W008,Jessica Lee,"programming,design,testing,analysis","[1,2,3,4,5]",4,Senior,5
W009,Alex Chen,"programming","[1,2]",1,Junior,2
W010,Rachel Green,"design,testing","[2,3,4,5]",3,Senior,4 
